,Area_Name,Year,Victims_of_Rape_Total
906,30,2003,557
909,30,2004,619
912,30,2005,571
915,30,2006,457
918,30,2007,532
921,30,2008,573
924,30,2009,596
927,30,2010,687
930,31,2001,102
933,31,2002,108
936,31,2003,114
939,31,2004,160
942,31,2005,162
945,31,2006,191
948,31,2007,157
951,31,2008,204
954,31,2009,190
957,31,2010,238
960,32,2001,1958
963,32,2002,1415
966,32,2003,911
969,32,2004,1397
972,32,2005,1217
975,32,2006,1314
978,32,2007,1648
981,32,2008,1871
984,32,2009,1759
987,32,2010,1563
990,33,2001,74
993,33,2002,89
996,33,2003,107
999,33,2004,115
1002,33,2005,133
1005,33,2006,147
1008,33,2007,117
1011,33,2008,87
1014,33,2009,111
1017,33,2010,121
1020,34,2001,709
1023,34,2002,759
1026,34,2003,1002
1029,34,2004,1475
1032,34,2005,1686
1035,34,2006,1731
1038,34,2007,2106
1041,34,2008,2263
1044,34,2009,2336
1047,34,2010,2311
